# word  syl-la-ble-split   built by gen/build_dictionary.py
# from en_US hyphenation patterns (pyphen). Break points, which are
# conservative: a missing break is safer than a wrong one.
actually ac-tu-al-ly
actuarial ac-tu-ar-i-al
actuaries ac-tu-ar-ies
actuary ac-tu-ary
actuate ac-tu-ate
actuator ac-tu-a-tor
actuators ac-tu-a-tors
actus ac-tus
acuity acu-ity
acumen acu-men
acuna acu-na
acupuncture acupunc-ture
acura acu-ra
acuson acu-son
acustar acus-tar
acutely acute-ly
acuteness acute-ness
acyclovir acy-clovir
adabel ad-abel
adabelle ad-abelle
adagio ada-gio
adamantly adamant-ly
adamcik adam-cik
adamczak adam-czak
adamczyk adam-czyk
adami ada-mi
adamina adami-na
adamowicz adamow-icz
adamski adams-ki
adamson adam-son
adapso adap-so
adaptability adapt-abil-i-ty
adaptable adapt-able
adaptaplex adap-ta-plex
adaptation adap-ta-tion
adaptations adap-ta-tions
adapted adapt-ed
adapting adapt-ing
adaptive adap-tive
adaptor adap-tor
adaptors adap-tors
adblock ad-block
adcock ad-cock
adcox ad-cox
addair ad-dair
addams ad-dams
addendum ad-den-dum
addendums ad-den-dums
addeo ad-deo
adderley adder-ley
addicks ad-dicks
addict ad-dict
addicted ad-dict-ed
addicting ad-dict-ing
addiction ad-dic-tion
addictions ad-dic-tions
addictive ad-dic-tive
addicts ad-dicts
addidas ad-di-das
addidases ad-di-das-es
addie ad-die
addington adding-ton
addis ad-dis
addison ad-di-son
addition ad-di-tion
additional ad-di-tion-al
additionally ad-di-tion-al-ly
additions ad-di-tions
additive ad-di-tive
additives ad-di-tives
addle ad-dle
addled ad-dled
addleman ad-dle-man
address ad-dress
addressable ad-dress-able
addressed ad-dressed
addressee ad-dressee
addresses ad-dress-es
addressing ad-dress-ing
adduci ad-duci
addwest ad-dwest
addy ad-dy
addyston ad-dys-ton
adelaar ade-laar
adelaide ade-laide
adelanto ade-lan-to
adelbert adel-bert
adeline ade-line
adelman adel-man
adelmann adel-mann
adelpha adel-pha
adelphi adel-phi
adelphia adel-phia
adelsberger adels-berg-er
adelson adel-son
adelstein adel-stein
adena ade-na
adenauer ade-nauer
adenine ade-nine
adenoid ade-noid
adenoids ade-noids
adenosine adeno-sine
adenovirus ade-n-ovirus
adequacy ad-e-qua-cy
adequate ad-e-quate
adequately ad-e-quate-ly
ader ad-er
aderhold ader-hold
aderholt ader-holt
aderman ader-man
adham ad-ham
adhd ad-hd
adhere ad-here
adhered ad-hered
adherence ad-her-ence
adherent ad-her-ent
adherents ad-her-ents
adheres ad-heres
adhering ad-her-ing
adhesion ad-he-sion
adhesive ad-he-sive
